Feature,Critical,Emergency,Low,Moderate,Non-Urgent,Mean_Absolute_Coefficient
numeric__Seizure,0.16749337104205314,0.09287652945650064,-0.06894615441546455,0.029669989498690628,-0.2210937355817794,0.11601595599889766
categorical__Injury_Type_Burn,-0.026446826077707982,0.07482410044501789,-0.1200344100506766,0.151853015435273,-0.08019587975190792,0.09067084635211667
categorical__Injury_Type_Laceration,0.00989212054685011,0.0782845608717224,-0.03441781351624594,0.07253374482040559,-0.1262926127227299,0.06428417049559079
categorical__Injury_Type_Fracture,-0.08892696192746685,-0.019027757931188393,0.08974684599336,-0.029020523592049353,0.047228397457345195,0.054790097380281955
categorical__Condition_Neurological,0.0174913197680037,0.0776980014206463,-0.06756401152895204,0.031141147029450686,-0.058766456689149094,0.05053218728724037
numeric__Diastolic_BP,-0.02284421225630707,-0.046087478222151486,0.025332303636237116,-0.015972515527758194,0.05957190236997998,0.03396168240248677
numeric__Respiratory_Disease,-0.040440770357475835,-0.018988289678807353,0.019289647589501285,-0.012562352441293454,0.05270176488807567,0.02879656499103072
numeric__Diabetes,-0.03315659614344368,-0.013058412156331927,0.00695030844694893,0.009266746220199913,0.029997953632623604,0.01848600331990961
numeric__Heart_Disease,0.018743655687676854,0.010612355200985883,-0.001786644888798591,1.0908354859265981e-05,-0.02758027435472389,0.011746767697408896
numeric__Hypertension,0.011708409350103002,-0.017417912622981736,0.007918563012004014,-0.007648589256757557,0.005439529517631934,0.01002660075189565
numeric__Age,-0.0004428738082608748,0.0066587830926697605,-0.005749636399054598,0.00775355520761726,-0.00821982809296986,0.00576493532011447
