Hospital_ID,Hospital_Type,Latitude,Longitude,Hospital_Capacity,Current_Load,ICU_Capacity,Current_ICU_Load
HOSP_049,General,26.87244522919598,75.8874742572593,286,52,8,7
HOSP_050,General,26.9560832711957,75.94629712218044,432,311,49,39
HOSP_051,General,26.940553848823892,75.98965963857297,308,185,33,30
HOSP_052,Trauma Center,26.839727297258463,75.93090624089655,140,78,30,0
HOSP_053,Trauma Center,26.750562621003688,75.88799920071527,90,89,44,0
HOSP_054,General,26.779037591568965,75.8124079037761,73,23,21,19
HOSP_055,General,26.966149926335397,75.91722954229517,432,377,11,5
HOSP_056,General,26.775868014252865,75.88164756138127,214,163,25,1
HOSP_057,General,26.844680889053308,75.95287088849804,347,278,37,15
HOSP_058,General,26.999214866550197,75.83385336953876,464,274,24,19
HOSP_059,Trauma Center,26.845464772093877,75.68168312447783,331,309,48,28
HOSP_060,General,26.766786867897306,75.74016166236049,59,22,12,0
HOSP_061,General,26.942487233880705,75.79940267968446,148,109,27,4
HOSP_062,General,26.81693118511612,75.67704342968894,450,91,11,11
HOSP_063,General,26.80052545507968,75.8990007490157,364,160,41,39
HOSP_064,Trauma Center,26.919164401370775,75.75310151125056,286,19,30,25
HOSP_065,General,26.898122826330333,75.76117673361708,237,184,17,3
HOSP_066,General,26.912151144725037,75.71848663249992,366,263,14,7
HOSP_067,General,26.86067391710875,75.96383123839502,245,30,14,0
HOSP_068,Trauma Center,26.999025515682135,75.6638805714048,354,90,39,17
HOSP_069,Trauma Center,26.982747360454667,75.6960146544832,63,39,36,16
HOSP_070,General,26.8123982424405,75.81952293668765,147,58,27,5
HOSP_071,Cardiac Center,26.987265530453143,75.74919892956521,425,75,8,1
HOSP_072,General,26.842211300112734,75.8423850415618,179,72,19,19
HOSP_073,Cardiac Center,26.929936444675523,75.98043574133949,251,167,9,5
HOSP_074,General,26.8825222830148,75.69118108174457,384,114,30,16
HOSP_075,General,26.949162612085253,75.91445428041314,415,107,44,35
HOSP_076,Trauma Center,26.864452673299883,75.84312339955959,295,89,5,3
HOSP_077,Specialty Hospital,26.872314169399456,75.86945709800503,187,119,23,8
HOSP_078,General,26.82014134941409,75.72228014116223,241,149,36,24
HOSP_079,General,26.88040333588038,75.94044403151574,273,118,47,15
HOSP_080,Trauma Center,26.820193092354167,75.78705697722097,223,20,11,2
HOSP_081,Specialty Hospital,26.970624277596045,75.88326285003495,207,134,17,7
HOSP_082,Trauma Center,26.83059631226664,75.72614233007543,171,57,27,16
HOSP_083,General,26.98548579771349,75.78395521674749,397,244,9,9
HOSP_084,General,26.902653311295882,75.86269176030915,329,28,41,9
HOSP_085,General,26.995021223511415,75.85958404543977,166,166,41,36
HOSP_086,Trauma Center,26.865047405068232,75.74366922171222,102,79,21,0
HOSP_087,Cardiac Center,26.891065128002374,75.72565901333249,183,89,29,13
HOSP_088,General,26.886380032432452,75.70718782424741,144,92,24,23
HOSP_089,General,26.79565807514907,75.99950448312177,154,67,13,0
HOSP_090,Cardiac Center,26.90870597187524,75.66770119888903,347,112,25,4
HOSP_091,Trauma Center,26.958588478069938,75.6830911115097,94,57,42,40
HOSP_092,Trauma Center,26.836174764084266,75.70562452171887,239,22,25,3
HOSP_093,General,26.932990389321333,75.85415054288303,71,24,22,8
HOSP_094,Trauma Center,26.89368503056737,75.88256751915212,68,65,49,15
HOSP_095,Specialty Hospital,26.98001828306894,75.74974473100768,400,358,22,11
HOSP_096,Trauma Center,26.865369258327977,75.69765006577602,76,71,39,1
HOSP_097,General,26.942253871058433,75.72587584912905,150,110,32,2
HOSP_098,General,26.98290074108719,75.95830509202968,384,218,42,28
HOSP_099,General,26.79366998278529,75.7953658173667,206,13,44,16
HOSP_100,General,26.8644989457946,75.96032991278989,166,54,9,0
HOSP_101,General,26.884400236239376,75.75504825396952,203,134,31,28
HOSP_102,General,26.99123873624404,75.9890165225907,121,32,45,2
HOSP_103,Trauma Center,26.826277003327352,75.88165378019848,88,66,15,2
HOSP_104,Cardiac Center,26.824590313751038,75.69826988536673,260,184,29,9
HOSP_105,General,26.992741297731147,75.89025375813563,78,49,12,10
HOSP_106,Trauma Center,26.90640965931742,75.7797230840327,65,44,8,5
HOSP_107,Specialty Hospital,26.874810776643088,75.69619620741948,61,10,30,12
HOSP_108,General,26.940395204535456,75.9158826485831,219,93,12,10
HOSP_109,General,26.7621973059453,75.8189640527517,101,72,33,13
HOSP_110,General,26.77178843567893,75.83626770935913,228,208,25,15
HOSP_111,General,26.83973569681716,75.7111422114865,146,122,24,24
HOSP_112,General,26.784392259044015,75.85306599712459,301,54,6,6
HOSP_113,General,26.969862233945243,75.95234990977507,419,387,31,30
HOSP_114,Trauma Center,26.94248202535575,75.68663327299639,152,76,19,3
HOSP_115,Cardiac Center,26.7533373720891,75.70858410598494,442,406,26,3
HOSP_116,General,26.94265982648544,75.75369441411951,286,15,26,21
HOSP_117,Cardiac Center,26.90403906874953,75.70030289144415,271,22,21,5
HOSP_118,General,26.821317608909727,75.97937504529715,498,146,42,42
HOSP_119,General,26.80287487783849,75.70132828543103,395,52,36,28
HOSP_120,Trauma Center,26.854106068750927,75.93188523933516,141,42,23,6
HOSP_121,Trauma Center,26.95260958903833,75.90015846167078,106,55,24,22
HOSP_122,General,26.961354970924173,75.97225057755098,169,142,18,0
HOSP_123,General,26.861963354109907,75.68672905419206,384,158,36,14
HOSP_124,Trauma Center,26.97139763948447,75.72483153426526,229,84,9,8
HOSP_125,Cardiac Center,26.75292219481026,75.74773528326439,128,102,16,13
HOSP_126,General,26.986993317551974,75.7003520920559,64,46,37,33
HOSP_127,General,26.848741842320123,75.96510053688475,300,98,5,4
HOSP_128,Specialty Hospital,26.973805099435594,75.95971672768742,121,56,16,5
HOSP_129,Cardiac Center,26.881420352672937,75.69346004795123,499,94,5,2
HOSP_130,Cardiac Center,26.955395987912716,75.95771328914418,179,132,46,10
HOSP_131,Cardiac Center,26.822937633405967,75.78003779104903,61,23,45,29
HOSP_132,General,26.815734654497437,75.81555747063996,114,93,24,14
HOSP_133,General,26.76987310274133,75.69731009474953,160,79,9,7
HOSP_134,General,26.92266461793992,75.98946253558572,460,225,27,1
HOSP_135,General,26.877515732229327,75.94701959401833,403,116,16,2
HOSP_136,Trauma Center,26.979559843106873,75.71204447817013,485,21,33,7
HOSP_137,General,26.794325886600692,75.67778426263291,423,144,16,12
HOSP_138,General,26.793074125247188,75.97965404054908,476,222,49,14
HOSP_139,General,26.944424882024244,75.98027433800851,63,25,49,20
HOSP_140,Trauma Center,26.965410107015845,75.73105682833034,483,456,5,3
HOSP_141,Trauma Center,26.827058560404787,75.72183581618667,98,61,33,8
HOSP_142,Trauma Center,26.75426852116998,75.66489089661438,258,46,42,9
HOSP_143,General,26.8736575921419,75.91970217672899,406,65,43,31
HOSP_144,Specialty Hospital,26.878593809918375,75.97330793964224,244,134,6,1
HOSP_145,Cardiac Center,26.833030039355844,75.85603847068242,142,121,7,5
HOSP_146,Specialty Hospital,26.920517734940287,75.68303748215638,383,231,44,14
HOSP_147,General,26.910416492992354,75.80465477580525,80,61,19,4
HOSP_148,Trauma Center,26.756494855436557,75.70745262063733,155,109,15,0
HOSP_149,Trauma Center,26.8712149400533,75.8564273143576,261,90,44,39
HOSP_150,General,26.96116037039075,75.88789045297567,449,218,16,1
HOSP_151,General,26.989509431752943,75.88915639860672,194,87,16,6
HOSP_152,General,26.805829191848748,75.98243664254412,140,45,17,17
HOSP_153,Trauma Center,26.967871490696897,75.9702734141631,71,67,16,6
HOSP_154,General,26.866167068196173,75.66054746187369,76,35,48,5
HOSP_155,Specialty Hospital,26.965389267399004,75.92317315617959,111,63,41,21
HOSP_156,Trauma Center,26.821497399060494,75.7960841386083,447,147,20,10
HOSP_157,Trauma Center,26.86445957101051,75.69219592024801,295,169,49,12
HOSP_158,General,26.758543944906343,75.98810089012235,346,114,25,1
HOSP_159,General,26.817295365891052,75.96721235656453,362,85,8,6
HOSP_160,Cardiac Center,26.93468980320976,75.88742919106559,276,10,27,7
HOSP_161,Trauma Center,26.757377129665578,75.83981629188857,292,219,45,30
HOSP_162,General,26.79153992635455,75.95248257562507,464,238,25,16
HOSP_163,Trauma Center,26.966849749876847,75.82359020697761,186,169,45,7
HOSP_164,General,26.782151524883755,75.91994853347825,103,74,43,27
HOSP_165,Trauma Center,26.932513002834902,75.89624692639504,113,106,12,11
HOSP_166,General,26.89764879047966,75.7482626679525,229,99,34,14
HOSP_167,General,26.95911531868015,75.65787630084291,265,164,45,18
HOSP_168,General,26.88868786762068,75.89441066192725,326,260,34,16
HOSP_169,General,26.91921486725158,75.88825068991079,343,33,39,14
HOSP_170,Trauma Center,26.869981358400835,75.76090382929414,318,303,45,30
HOSP_171,Specialty Hospital,26.95583097568468,75.79635853808064,123,89,41,39
HOSP_172,Trauma Center,26.980229111900638,75.65672043033047,169,155,42,32
HOSP_173,General,26.994866994251765,75.76580851206089,485,154,32,23
HOSP_174,General,26.991088077949563,75.77535419722321,196,133,21,8
HOSP_175,Specialty Hospital,26.791073653530916,75.93289824778599,443,393,22,17
HOSP_176,Cardiac Center,26.9769397929416,75.68096966131334,132,106,18,15
HOSP_177,General,26.90663869583775,75.94300781819555,414,298,48,41
HOSP_178,Cardiac Center,26.853163944440904,75.7092445558226,64,44,38,10
HOSP_179,General,26.990711701028175,75.83597134498011,91,69,34,0
HOSP_180,Cardiac Center,26.961853859622902,75.71578360970214,185,139,18,0
HOSP_181,Trauma Center,26.831999573839926,75.69989253617136,250,126,20,12
HOSP_182,General,26.875475647795277,75.78494872767713,139,74,26,21
HOSP_183,General,26.83172689780441,75.75578124983382,260,158,26,21
HOSP_184,Trauma Center,26.89991520855328,75.73755550420675,313,305,9,6
HOSP_185,Specialty Hospital,26.790390196773377,75.865347136779,99,26,22,3
HOSP_186,General,26.793784608271764,75.69993327836079,362,87,41,38
HOSP_187,General,26.778206995084485,75.77185128899575,454,175,46,10
HOSP_188,General,26.804022134417945,75.91156703469689,56,21,39,9
HOSP_189,General,26.86574210339256,75.65227016469986,443,323,44,5
HOSP_190,General,26.862274449860827,75.87008061214507,395,106,14,4
HOSP_191,General,26.802309385476555,75.94210828194062,339,187,14,0
HOSP_192,Trauma Center,26.7995800330366,75.96795458521868,491,246,22,1
HOSP_193,Trauma Center,26.751802343754676,75.91581965452674,345,174,44,44
HOSP_194,General,26.84285228127971,75.87369266213679,143,142,32,7
HOSP_195,Cardiac Center,26.832936053157493,75.86794381297533,223,41,44,14
HOSP_196,General,26.925653161982492,75.96321729554286,416,92,39,39
HOSP_197,Cardiac Center,26.94966573220381,75.81752319660235,232,179,24,18
HOSP_198,General,26.875922693399954,75.74701828327868,140,38,41,12
HOSP_199,Trauma Center,26.77724112141384,75.95939966948728,239,134,8,1
HOSP_200,Cardiac Center,26.884561775091385,75.86190705140466,60,18,30,24
HOSP_201,Cardiac Center,26.959465387955706,75.88645964513806,277,260,21,15
HOSP_202,General,26.969709899258497,75.98602591403325,426,377,40,40
HOSP_203,Trauma Center,26.7933245955953,75.7009621511303,74,54,34,34
HOSP_204,Cardiac Center,26.878173165135845,75.8478077598125,240,159,28,14
HOSP_205,General,26.972783661818035,75.99156371195892,345,72,32,3
HOSP_206,Cardiac Center,26.758447355715663,75.73341184810984,95,60,19,11
HOSP_207,General,26.81361117336112,75.97726222398343,311,185,27,25
HOSP_208,Cardiac Center,26.78035905552236,75.995565531821,331,314,14,10
HOSP_209,General,26.791741730552175,75.95716991747143,273,35,37,18
HOSP_210,Specialty Hospital,26.753507392614136,75.8353461267726,302,51,12,7
HOSP_211,General,26.927969988711368,75.81842151076883,464,274,34,34
HOSP_212,Specialty Hospital,26.93587956410566,75.80037799676977,485,311,49,28
HOSP_213,Trauma Center,26.92994123353311,75.9342420050792,478,320,49,13
HOSP_214,General,26.789860790828396,75.6583660804777,362,147,40,17
HOSP_215,General,26.966721563877496,75.72581435121626,75,25,12,5
HOSP_216,Trauma Center,26.95980194145208,75.7581187698732,395,328,22,0
HOSP_217,General,26.849314056583378,75.73968469929906,115,115,37,35
HOSP_218,General,26.82019603116639,75.73775225852093,123,109,15,14
HOSP_219,General,26.75846140086842,75.96139666026092,143,25,6,5
HOSP_220,General,26.86193406637262,75.9771849277161,135,16,22,9
HOSP_221,General,26.847220936070247,75.77618869225854,239,214,41,27
HOSP_222,General,26.845586595822873,75.75684686554392,136,90,42,38
HOSP_223,General,26.83096881610647,75.90102266956698,370,275,31,3
HOSP_224,Trauma Center,26.781448154097014,75.92432926062469,360,291,46,35
HOSP_225,General,26.80202523940515,75.6530323671844,309,116,45,16
HOSP_226,Trauma Center,26.888185480292513,75.70831718443723,76,46,15,11
HOSP_227,Trauma Center,26.76626031460222,75.71999855783147,323,194,27,17
HOSP_228,Trauma Center,26.795079105106673,75.92633608474829,320,161,14,9
HOSP_229,Specialty Hospital,26.9509820940409,75.69132424573151,411,170,7,0
HOSP_230,General,26.90592591382857,75.99318589813609,106,39,10,1
HOSP_231,Trauma Center,26.965645226558877,75.69297243817131,258,220,15,12
HOSP_232,General,26.78244704459306,75.7933412978082,384,10,23,17
HOSP_233,General,26.854151893254855,75.87224589923136,180,42,21,17
HOSP_234,Specialty Hospital,26.992239901372766,75.8801893565926,304,61,11,3
HOSP_235,General,26.76479779063049,75.96617391092201,259,55,39,30
HOSP_236,Trauma Center,26.86053277608088,75.94805513798173,214,140,22,18
HOSP_237,Specialty Hospital,26.822335543020344,75.97257676681997,154,103,38,20
HOSP_238,General,26.912785892546694,75.78083330029456,468,294,29,16
HOSP_239,General,26.935404871673928,75.78616409283217,242,117,8,6
HOSP_240,General,26.900012874781062,75.84299982298357,427,386,26,21
HOSP_241,Cardiac Center,26.761762149821173,75.73863503091322,455,280,45,27
HOSP_242,General,26.98379400298189,75.87997547397416,406,365,9,1
HOSP_243,General,26.822556557195767,75.85090963227984,113,60,6,1
HOSP_244,Cardiac Center,26.851748644418088,75.86468115296083,312,105,28,18
HOSP_245,Trauma Center,26.999449414848975,75.73016746625927,228,98,31,3
HOSP_246,Specialty Hospital,26.998899419732545,75.75380325338655,474,94,35,28
HOSP_247,Trauma Center,26.97151196495692,75.83339346797901,341,237,26,10
HOSP_248,General,26.779181583865583,75.67838037978301,407,115,8,7
HOSP_249,General,26.97317039323248,75.91479500085069,464,158,33,24
HOSP_250,Cardiac Center,26.844019065585485,75.951880358187,452,438,16,12
HOSP_251,General,26.897012015090322,75.76269308939659,455,141,30,7
HOSP_252,General,26.820747470396764,75.98143836101222,352,266,12,4
HOSP_253,General,26.84113729452605,75.65998607851492,158,48,40,31
HOSP_254,Trauma Center,26.824646705917203,75.71627191189727,169,57,45,41
HOSP_255,Cardiac Center,26.881263381658947,75.70328093182817,275,118,49,22
HOSP_256,Trauma Center,26.913006320221623,75.71966299892753,371,97,20,15
HOSP_257,Specialty Hospital,26.845677912874724,75.86634071162369,126,120,35,6
HOSP_258,Cardiac Center,26.912031414254947,75.8465923076797,355,194,43,1
HOSP_259,Trauma Center,26.78796011219351,75.90355946644124,491,403,11,0
HOSP_260,General,26.990584472805832,75.689588996088,71,36,37,33
HOSP_261,General,26.83786241015907,75.90947955243743,305,276,8,4
HOSP_262,Cardiac Center,26.851018219467665,75.8436348351303,110,75,46,38
HOSP_263,Trauma Center,26.99271407293979,75.8551480744874,228,24,39,13
HOSP_264,Specialty Hospital,26.86054271301574,75.7418342825016,433,175,20,20
HOSP_265,Cardiac Center,26.783946610571615,75.78962411767117,228,168,45,45
HOSP_266,Trauma Center,26.97507979359929,75.662042477955,474,456,33,24
HOSP_267,General,26.98763988316231,75.7602644723997,494,191,14,9
HOSP_268,General,26.924210635531868,75.78446111806048,211,68,5,5
HOSP_269,Trauma Center,26.916469908584073,75.94915971546182,409,79,47,16
HOSP_270,Trauma Center,26.847620245084652,75.8145853036143,209,36,23,21
HOSP_271,Trauma Center,26.89394409223341,75.8002361638746,279,118,21,3
HOSP_272,General,26.98893412842665,75.68980747360506,238,171,5,2
HOSP_273,Trauma Center,26.814860151365412,75.99221868039884,123,21,28,10
HOSP_274,General,26.91689131024122,75.74181576460191,447,399,10,6
HOSP_275,General,26.884487080935333,75.72990637325255,92,36,47,17
HOSP_276,Trauma Center,26.778838148490138,75.77730361026263,287,212,42,17
HOSP_277,General,26.986209269837616,75.76257241677042,489,183,43,26
HOSP_278,Trauma Center,26.960618559902883,75.76295544115933,326,268,25,18
HOSP_279,Specialty Hospital,26.817918471180857,75.90327212840619,212,38,11,1
HOSP_280,General,26.98744022221905,75.96818523678886,207,62,5,0
HOSP_281,Trauma Center,26.99399355720446,75.6699099462449,81,52,15,1
HOSP_282,Trauma Center,26.837316291095338,75.8608113699043,81,59,34,20
HOSP_283,Trauma Center,26.954263972704634,75.92947972119178,260,177,48,40
HOSP_284,General,26.91038840803265,75.68625376883709,431,365,6,3
HOSP_285,General,26.783288465358375,75.84045095212021,444,254,22,18
HOSP_286,General,26.83033560962016,75.85439922269168,241,225,40,4
HOSP_287,General,26.791706752183412,75.69785196378115,247,126,18,15
HOSP_288,Trauma Center,26.808339033926963,75.67440919849095,313,67,40,11
HOSP_289,General,26.91192126778812,75.78497931581649,301,75,29,5
HOSP_290,General,26.98392496216525,75.92030205225626,65,13,18,4
HOSP_291,Trauma Center,26.802310142465384,75.98211384789984,324,233,20,3
HOSP_292,General,26.812218771913173,75.82845265063476,61,50,5,1
HOSP_293,Trauma Center,26.814116899294763,75.89422611811277,67,38,37,37
HOSP_294,Trauma Center,26.774022045119086,75.93246996284947,87,55,44,1
HOSP_295,Cardiac Center,26.932335297303215,75.93516173567704,343,316,40,22
HOSP_296,Trauma Center,26.814680877703523,75.81955591752703,350,48,23,14
HOSP_297,General,26.828569191761094,75.88404691734227,107,83,13,4
HOSP_298,Trauma Center,26.963213824636327,75.65621917707561,347,270,15,5
HOSP_299,Specialty Hospital,26.917764803411814,75.86034221566263,471,361,11,7
HOSP_300,General,26.867831055142272,75.85513182745592,138,38,42,13
